,Tokenize,Detokenize
2025-06-26,0,1139539
2025-06-27,0,845926
2025-06-28,0,688165
2025-06-29,0,373069
2025-06-30,0,940810
2025-07-01,0,1342368
2025-07-02,0,1359917
2025-07-03,0,1638017
2025-07-04,0,1168901
2025-07-05,0,904496
2025-07-06,0,310739
2025-07-07,0,1139286
2025-07-08,0,1187862
2025-07-09,0,23185
2025-07-10,0,28204
2025-07-11,0,897631
2025-07-12,0,902046
2025-07-13,0,300197
2025-07-14,0,1743155
2025-07-15,0,1585348
2025-07-16,0,1857620
2025-07-17,0,1364377
2025-07-18,0,1741677
2025-07-19,0,228420
2025-07-20,0,4431
2025-07-21,0,33243
2025-07-22,0,100797
2025-07-23,0,53291
2025-07-24,0,46562
2025-07-25,0,37823
